Country Name,Life_Expectancy,Undernourishment,CO2,Health_Expenditure,Education_Expenditure,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Afghanistan,60.82921053,28.55263158,4247.368448,10.22339286,3.301719983,11.1648421,2.035714286,,2743096.43,7577978.473,6613503.581
Albania,76.57063158,6.115789474,4362.631584,5.657288418,3.347928651,15.2073159,2.75,44.15286159,88665.51895,79690.89158,578269.5826
Algeria,74.55115789,4.710526316,122019.4738,5.048731389,5.720433772,13.73610517,,19.72812216,1311985.941,1852615.286,6313575.785
American Samoa,,,,,14.7170496,,,,1693.445789,2238.056842,11899.23789
Andorra,,,511.0526299,6.029692451,2.680696256,,,75.51734827,1957.404737,786.1768421,16547.23105
Angola,54.78315789,33.17894737,21978.42091,3.004900493,2.866502539,5.836947441,2.5,,1231489.897,9390856.039,3403726.314
Antigua and Barbuda,75.737,,522.6315765,5.060722727,2.709805449,,,,2171.454211,2702.585789,16892.39947
Argentina,75.25431579,3.221052632,161945.7914,8.821362696,4.817420056,10.09800002,,49.65257778,1405743.813,1486683.005,8744063.245
Armenia,73.47273684,8.252631579,4840.526322,8.305677238,2.72887373,14.9867895,3.166666667,54.81541345,88597.46947,91350.34789,784318.0874
Australia,81.55250321,2.5,377437.3675,8.569639231,5.05355852,5.445789463,,64.89570995,663027.6289,209919.5795,4619829.134
Austria,80.44274711,2.5,68211.57878,9.97466233,5.426614496,5.073684216,,99.65164979,228295.9526,75283.30158,2149888.776
Azerbaijan,70.51736842,4.647368421,29613.68432,2.923613147,2.787414225,6.355263133,2.5,23.23116413,239626.8189,701030.5584,2141071.168
Bahrain,76.03105263,,25205.26307,3.940470281,2.71709528,1.145578955,,80.31060637,26444.43737,17913.53632,171871.1116
Bangladesh,69.62947368,14.12105263,52253.68406,2.500821942,1.974025378,4.192157896,2.633333333,28.34572933,3983393.972,19229931.06,24106136.23
Barbados,78.34321053,4.952631579,1608.421034,6.700259986,5.343169942,9.720526243,,,6871.761579,10060.95842,70378.83474
Belarus,71.14467266,2.594736842,57167.36818,5.623336241,5.117542617,7.241736789,,79.53869317,658042.9032,189845.7684,3387425.441
Belgium,80.07676508,2.5,102268.4208,9.911127041,6.400226376,7.463157855,,80.15091975,385790.53,164979.8232,2753680.067
Belize,71.986,6.557894737,607.8947343,5.408207693,6.485876964,8.480736833,,,15990.44947,19507.51,50660.59368
Benin,59.01057895,9.878947368,4497.368448,2.890666999,2.971486869,1.394052625,3.5,,355585.6921,4356265.386,1541060.062
Bermuda,79.92701669,,,,1.798786253,,,,1247.098421,1297.872105,14497.83053
Bhutan,67.77052632,,545.7894658,3.850208909,6.032770872,2.740315801,4.366666667,63.84785804,21257.57263,97354.70105,119411.0768
Bolivia,67.74421053,20.18421053,15517.36841,5.50182847,8.218888866,2.7552105,3.409090909,39.20585235,397397.1005,1263033.462,1890587.429
Bosnia and Herzegovina,76.03121053,2.568421053,19438.42104,8.951157771,,26.07900002,3,26.60946516,122832.8668,57323.60316,1005252.21
Botswana,59.89068421,21.75789474,5031.578973,5.861160178,8.23497045,19.75684196,,,116157.7547,835036.9653,360903.2789
Brazil,73.43294737,4.747368421,397163.1547,8.468505734,5.330505315,9.084947385,,40.84642766,9715880.664,11326784.28,41405028.91
Bulgaria,73.584724,3.931578947,45192.63184,7.057710823,3.735365033,10.13789478,,56.39642629,303549.2226,143366.7295,2989972.163
Burkina Faso,56.65547368,15.00526316,2447.894751,4.694672083,4.309537868,3.777842133,3.4,,724205.8621,9785380.227,3159242.225
Burundi,56.66189474,,324.7368444,8.391388014,5.183934048,1.600000005,2.033333333,,701910.0279,4181426.606,1350467.952
Cambodia,65.77394737,12.85789474,6264.21052,6.686534655,1.981885697,0.73178947,2.066666667,,539878.2916,2456998.928,2755216.286
Cameroon,55.16878947,10.68421053,6974.210597,3.891465803,2.729534255,4.246578944,2.5,,818139.3784,10127351.29,3413241.396
Canada,80.99602054,2.5,549403.6868,10.01075308,4.945440054,6.937894771,,80.84891542,859982.1853,407137.2589,7463147.582
Central African Republic,47.85994737,40.01052632,204.7368417,5.090496138,1.634771731,5.628368353,2.5,17.10988228,403151.2984,3515229.216,883346.8989
Chad,50.88910526,32.93157895,1278.947389,4.681133433,2.264932837,0.974631579,2.2,9.049666599,524590.4895,8248763.591,1927977.042
