Country Name,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Afghanistan,1155.755,542.5,80700.00051,184.0210714,49.52579975,212.132,28.5,0,52118832.17,143981591,125656568
Albania,1454.842,116.2,82890.00009,101.8311915,50.21892977,288.9390021,5.5,838.9043702,1684644.86,1514126.94,10987122.07
Algeria,1416.472,89.5,2318370.001,95.92589639,45.76347017,260.9859982,0,374.8343211,24927732.87,35199690.44,119957939.9
American Samoa,0,0,0,0,14.7170496,0,0,0,32175.47,42523.08,226085.52
Andorra,0,0,9709.999968,114.5641566,42.8911401,0,0,1434.829617,37190.69,14937.36,314397.39
Angola,1040.88,630.4,417589.9973,57.09310937,42.99753809,110.9020014,22.5,0,23398308.05,178426264.7,64670799.96
Antigua and Barbuda,1439.003,0,9929.999954,96.15373182,16.25883269,0,0,0,41257.63,51349.13,320955.59
Argentina,1429.832,61.2,3076970.037,167.6058912,91.53098106,191.8620005,0,794.4412444,26709132.44,28246977.1,166137201.7
Armenia,1395.982,156.8,91970.00012,157.8078675,51.84860086,284.7490005,28.5,1041.492855,1683351.92,1735656.61,14902043.66
Australia,1549.497561,47.5,7171309.983,162.8231454,70.74981928,103.4699998,0,1233.018489,12597524.95,3988472.01,87776753.54
Austria,1528.412195,47.5,1296019.997,189.5185843,97.67906094,96.4000001,0,1893.381346,4337623.1,1430382.73,40847886.75
Azerbaijan,1339.83,88.3,562660.0021,55.5486498,52.96087027,120.7499995,15,441.3921185,4552909.56,13319580.61,40680352.2
Bahrain,1444.59,0,478899.9983,74.86893534,40.7564292,21.76600015,0,1525.901521,502444.31,340357.19,3265551.12
Bangladesh,1322.96,268.3,992819.9971,47.5156169,25.66232991,79.65100002,39.5,538.5688573,75684485.46,365368690.2,458016588.3
Barbados,1488.521,94.1,30559.99964,127.3049397,90.83388901,184.6899986,0,0,130563.47,191158.21,1337197.86
Belarus,1351.74878,49.3,1086179.995,106.8433886,76.76313925,137.592999,0,1511.23517,12502815.16,3607069.6,64361083.37
Belgium,1521.458537,47.5,1943099.994,188.3114138,70.40249014,141.7999992,0,1522.867475,7330020.07,3134616.64,52319921.28
Belize,1367.734,124.6,11549.99995,102.7559462,84.31640053,161.1339998,0,0,303818.54,370642.69,962551.28
Benin,1121.201,187.7,85450.00051,54.92267299,56.45825052,26.48699987,52.5,0,6756128.15,82769042.33,29280141.17
Bermuda,1518.613317,0,0,0,14.39029002,0,0,0,23694.87,24659.57,275458.78
Bhutan,1287.64,0,10369.99985,73.15396928,84.45879221,52.06600022,65.5,1213.109303,403893.88,1849739.32,2268810.46
Bolivia,1287.14,383.5,294829.9997,104.5347409,73.96999979,52.3489995,37.5,744.9111946,7550544.91,23997635.77,35921161.16
Bosnia and Herzegovina,1444.593,48.8,369329.9997,170.0719977,0,495.5010004,27,478.9703729,2333824.47,1089148.46,19099791.99
Botswana,1137.923,413.4,95600.0005,111.3620434,65.8797636,375.3799973,0,0,2206997.34,15865702.34,6857162.3
Brazil,1395.226,90.2,7546099.94,160.9016089,90.61859036,172.6140003,0,776.0821256,184601732.6,215208901.2,786695549.3
Bulgaria,1398.109756,74.7,858660.0051,134.0965056,52.29511046,192.6200008,0,1071.532099,5767435.23,2723967.86,56809471.1
Burkina Faso,1076.454,285.1,46510.00026,89.19876957,51.71445441,71.77900052,51,0,13759911.38,185922224.3,60025602.27
Burundi,1076.576,0,6170.000044,159.4363723,82.94294477,30.40000009,30.5,0,13336290.53,79447105.51,25658891.08
Cambodia,1249.705,244.3,119019.9999,127.0441585,27.74639976,13.90399992,31,0,10257687.54,46682979.64,52349109.44
Cameroon,1048.207,203,132510.0013,73.93785025,49.13161659,80.68499994,37.5,0,15544648.19,192419674.5,64851586.52
Canada,1538.92439,47.5,10438670.05,190.2043085,39.56352043,131.8200006,0,1536.129393,16339661.52,7735607.92,141799804.1
Central African Republic,909.339,760.2,3889.999993,96.71942663,29.42589116,106.9389987,37.5,325.0877634,7659874.67,66789355.11,16783591.08
Chad,966.893,625.7,24300.0004,88.94153522,31.70905972,18.51800001,33,171.9436654,9967219.3,156726508.2,36631563.79
Chile,1493.898,59.5,1331810.005,141.6012526,67.64209914,157.900002,0,1199.529203,9834362.23,5717333.24,61341324.29
China,1413.93,85.8,149386319.3,85.52925562,52.20697021,84.97000051,0,706.5550803,784819806.5,580053739.6,5613486773
Colombia,1432.185,179.3,1280179.99,129.1651282,82.73405933,203.2399979,0,318.7120739,45931971.99,33301197.89,134683523.6
Comoros,1174.979,0,3340.000019,104.2667136,19.9319098,124.1990018,37.5,0,412657.52,3164339.54,1960631.22
Costa Rica,1498.028,81.9,135919.9995,138.6751337,107.4527492,146.2700014,0,662.214736,2440084.13,1762345.29,13408783.33
Cote d'Ivoire,1010.22,254.3,143229.9993,83.2206664,60.60522175,96.0180006,39.5,0,14172880.48,208559231.8,61791984.62
Croatia,1452.631951,55.7,363160.001,134.6314936,44.50943995,241.130002,0,1449.320408,3237703.5,1040551.04,24850341.86
Cuba,1484.337,47.5,514580.0006,192.7745352,109.6427603,45.13500011,0,727.8929454,6264790.62,4758289.49,49339830.69
Cyprus,1510.299,82.4,142439.9998,117.9072094,100.5068097,150.7500007,0,1454.776215,523779.4,208167.56,4421308.99
Denmark,1504.517073,47.5,851050.003,184.3388996,127.0707812,107.5299997,0,1684.18235,2374111.71,1381903.04,27978497.86
Djibouti,1159.5,450.4,8439.999973,58.17772055,78.83961988,514.3360023,37.5,570.3245993,607472.59,5587696.77,2629191.46
Dominica,76.59756098,95.9,3590.00005,97.97332718,24.45279002,0,60,0,47828.08,61785.71,349919.17
Dominican Republic,1367.847,257,406080.0004,98.66160108,37.2733798,119.940001,0,0,7956696.46,16437180.8,33344885.88
Ecuador,1426.927,295.4,646689.9986,117.7119747,51.30827093,75.54799962,0,778.5037127,13482620.25,16172767.22,47358211.11
El Salvador,1353.717,179,128600.0005,150.6951957,63.51177001,100.2700007,0,0,7793151.68,5255577.4,20246538.39
Equatorial Guinea,1061.844,0,142619.9988,40.37580407,0,164.2009974,0,0,561376.01,6276661.68,2456034.08
Eritrea,1172.143,0,12040,101.0410802,12.84703016,106.0249996,32,0,5056021.55,33900587.24,15772373.98
Estonia,1423.435366,50.8,315989.9977,109.1574249,86.70175886,165.7999992,0,1761.841495,1222037.17,419416.39,7978095.34
Eswatini,934.423,233.6,13649.99996,138.9720874,94.91285038,480.6460018,0,0,1330871.28,12067313.6,3785659.46
Ethiopia,1152.739,526.1,172940.0004,81.14542057,73.2724297,47.21500015,42,85.47591052,56202533.09,628447406.4,219191738.5
Fiji,1266.976,96.4,23839.99983,62.28192807,89.66846919,79.35700035,0,0,495774.15,1061529.1,4304307.24
Finland,1521.134146,47.5,1042579.99,166.9125948,114.9425097,160.71,0,1567.070116,3799467.28,852477.19,26264428.74
France,1546.073171,47.5,6535629.963,205.8435068,10.85876989,169.4599996,0,1499.471018,38024404.42,14777892.61,277370180.3
Gabon,1171.277,273.6,108760.0002,56.115706,29.42164707,366.0980034,0,0,1072220.37,6872491.91,5063406.66
Georgia,1362.559,121.8,121639.9987,149.4294143,54.51224947,294.75,30,776.1572301,2768633.81,2615772.58,25188024.79
Germany,1518.143902,47.5,14642610.05,204.325882,62.12974024,129.4899986,0,1832.747689,36466999.77,17635532.34,443103800.3
Ghana,1154.972,165.4,226650.0001,71.19047713,88.9925096,112.2660003,56,164.1785608,14316034,150987360.8,77464013.79
Greece,1524.717073,47.5,1616309.997,160.4988069,28.58519983,300.4300013,0,1598.539694,4863765.85,2364263.75,55811034.56
Greenland,1331.198293,0,0,0,44.67948913,0,0,1673.956726,79118.43,27412.69,284310.69
Grenada,1382.595,0,5909.999977,99.49857093,14.89169979,0,60,0,60100.89,80716.59,447281.29
Guam,1479.78,0,0,0,0,164.3780003,0,0,83918.35,111245.76,610538.18
Guatemala,1357.736,337.7,250429.998,115.9956064,39.31555987,54.46200013,0,0,16049646.62,27964039.86,44890631.81
Guinea,1074.063,0,44929.99978,79.43783976,38.23824012,90.77099991,35,0,8226540.17,103204229.9,36080230.91
Guinea-Bissau,1037.453,0,4600.000018,136.5854731,21.93791997,114.8579993,32,141.0833966,1571804.15,13716398.01,5520210.87
Guyana,1290.963,133.8,36299.99985,75.56030821,74.29861021,232.099,43.5,0,944164.24,1473135.46,3469493.11
Haiti,1151.015,900.7,46229.99988,81.02970243,8.142349958,266.1730003,35.5,0,27130405.97,51018031.45,46127461.74
Honduras,1391.706,330.5,160310.0012,146.2011542,53.34397936,92.27999973,44.5,863.8249355,8198840.21,9605996.82,25846449.2
Hungary,1411.343902,47.5,938959.9927,137.3765035,87.43709993,137.1599999,0,1430.883631,7563644.21,2425816.52,64373125
Iceland,1556.082927,47.5,38729.99981,162.9932566,130.55725,77.47000039,0,1198.817947,120785.68,60987.87,1150748
India,1264.137,319.1,31741719.99,67.63102363,52.90690994,104.184,31.5,484.6234914,1008128908,3946090351,4339516726
Indonesia,1312.035,246.7,8126030.032,50.76510276,55.06797004,107.8400016,6,0,122151555,439038128.4,926800069.3
Iraq,1313.069,343,2177099.988,55.94308258,9.199999809,182.552001,0,726.0341043,54576681.19,43699817.5,105524725.1
Ireland,1524.363415,47.5,776449.9973,156.8994646,84.53316021,156.5799978,0,1333.348215,1846487.9,976075.97,18147294.57
Israel,1544.009756,47.5,1238080.005,135.2527952,105.3843107,156.5499999,0,1660.466785,3243419.09,1860645.04,25638090.82
Italy,1555.563415,47.5,7551709.954,161.720272,76.69120956,178.1699977,0,1818.346075,22836620.29,11038547.48,299396585.4
Jamaica,1408.647,162.3,169070.0017,98.83630086,99.04618025,229.4499993,0,0,1216009.21,2288085.6,9867291.65
Japan,1574.939512,48.1,22492079.71,174.9687719,54.22953963,77.70000029,0,1469.145799,67083069.65,37922361.07,568144677.4
Jordan,1393.363,138.2,410930.0003,155.1816702,55.28464007,270.2599983,0,1499.611381,3070720.08,5232233.33,19861018.81
Kazakhstan,1309.74,80.2,3786370.008,60.47820592,50.36439991,124.4499998,0,0,20044254.11,14920056.42,85543675.26
Kenya,1137.736,487.5,239749.9994,101.45859,87.7400198,58.83700061,45,0,20100124.29,254244426.2,98397392.28
Kiribati,1251.356,83,1160.000003,205.0174193,116.7840614,0,51,423.6108297,89076.38,343765.38,607866.36
Kuwait,1412.519,47.6,1472830.003,58.76744162,84.98661041,35.17500025,0,1900,1222511.86,1062775.71,7781988.15
Latvia,1386.560976,50.8,145500.0003,110.4685263,88.66942882,215.1899996,0,1201.025633,2373174.35,827055.14,14143484.88
Lebanon,1477.793,145,411899.9993,153.7561741,41.14488983,162.7969995,0,243.578256,2111479.62,2645727.87,17954119.36
Lesotho,895.017,369.2,10439.99999,157.6429624,149.9912725,525.0679989,49.5,535.5708803,3018625.5,24842143.23,7932636.09
Liberia,1118.914,685.6,15949.99997,158.3304098,19.12617028,44.82099986,32,0,2387519.91,30834456.01,10611231.34
Libya,1368.242,0,998990.0009,40.64360498,0,369.3859997,0,434.9901815,5681517.05,3184766.61,18900800.14
Lithuania,1390.941463,47.5,224759.9997,119.8130855,86.85547018,196.8600006,0,1635.448619,4003646.57,1106303.52,19436987.35
